"tick","consumer","Potential"
1.0,99,100
2.0,99,100
3.0,99,100
4.0,99,100
5.0,99,100
6.0,99,100
7.0,99,100
8.0,99,100
9.0,99,100
10.0,99,100
11.0,99,100
12.0,99,100
13.0,99,100
14.0,99,100
15.0,99,100
16.0,99,100
17.0,99,100
18.0,99,100
19.0,99,100
20.0,99,100
21.0,99,100
22.0,99,100
23.0,99,100
24.0,99,100
25.0,99,100
26.0,100,99
27.0,100,99
28.0,100,99
29.0,100,99
30.0,100,99
31.0,100,99
32.0,100,99
33.0,100,99
34.0,100,99
35.0,100,99
36.0,100,99
37.0,100,99
38.0,100,99
39.0,100,99
40.0,100,99
41.0,100,99
42.0,100,99
43.0,100,99
44.0,100,99
45.0,100,99
46.0,100,99
47.0,100,99
48.0,100,99
49.0,100,99
50.0,100,99
51.0,100,99
52.0,100,99
53.0,100,99
54.0,100,99
55.0,100,99
56.0,100,99
57.0,100,99
58.0,100,99
59.0,100,99
60.0,100,99
61.0,100,99
62.0,100,99
63.0,100,99
64.0,100,99
65.0,100,99
66.0,100,99
67.0,100,99
68.0,100,99
69.0,100,99
70.0,100,99
71.0,100,99
72.0,100,99
73.0,100,99
74.0,100,99
75.0,100,99
76.0,100,99
77.0,100,99
78.0,100,99
79.0,100,99
80.0,100,99
81.0,100,99
82.0,100,99
83.0,100,99
84.0,100,99
85.0,100,99
86.0,100,99
87.0,100,99
88.0,100,99
89.0,100,99
90.0,100,99
91.0,100,99
92.0,100,99
93.0,100,99
94.0,100,99
95.0,100,99
96.0,100,99
97.0,100,99
98.0,100,99
99.0,100,99
100.0,100,99
101.0,100,99
102.0,100,99
103.0,100,99
104.0,100,99
105.0,100,99
106.0,100,99
107.0,100,99
108.0,100,99
109.0,100,99
110.0,100,99
111.0,100,99
112.0,100,99
113.0,100,99
114.0,100,99
115.0,100,99
116.0,100,99
117.0,100,99
118.0,100,99
119.0,100,99
120.0,100,99
121.0,100,99
122.0,100,99
123.0,100,99
124.0,100,99
125.0,100,99
126.0,100,99
127.0,100,99
128.0,100,99
129.0,100,99
130.0,100,99
131.0,100,99
132.0,100,99
133.0,100,99
134.0,100,99
135.0,100,99
136.0,100,99
137.0,100,99
138.0,100,99
139.0,100,99
140.0,100,99
141.0,100,99
142.0,100,99
143.0,100,99
144.0,100,99
145.0,100,99
146.0,100,99
147.0,100,99
148.0,100,99
149.0,100,99
150.0,100,99
151.0,100,99
152.0,100,99
153.0,100,99
154.0,100,99
155.0,100,99
156.0,100,99
157.0,100,99
158.0,100,99
159.0,100,99
160.0,100,99
161.0,100,99
162.0,100,99
163.0,100,99
164.0,100,99
165.0,100,99
166.0,100,99
167.0,100,99
168.0,100,99
169.0,100,99
170.0,100,99
171.0,100,99
172.0,100,99
173.0,100,99
174.0,100,99
175.0,100,99
176.0,100,99
177.0,100,99
178.0,100,99
179.0,100,99
180.0,100,99
181.0,100,99
182.0,100,99
183.0,100,99
184.0,100,99
185.0,100,99
186.0,100,99
187.0,100,99
188.0,100,99
189.0,100,99
190.0,100,99
191.0,100,99
192.0,100,99
193.0,100,99
194.0,100,99
195.0,100,99
196.0,100,99
197.0,100,99
198.0,100,99
199.0,100,99
200.0,100,99
